,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,총이용자수,동별이용자수,창업비용,매출ratio
15,송산동,1087616,39204891377,음식,152,257926916.95394737,17767237,6.121469534064301,89000000,2.898055246673566
32,정방동,684580,24555916274,음식,143,171719694.22377622,17767237,3.8530470438369226,89000000,1.9294347665592835
35,중앙동,684580,24555916274,음식,155,158425266.28387097,17767237,3.8530470438369226,89000000,1.7800591717288872
36,천지동,816266,28003399387,음식,220,127288179.03181818,17767237,4.594220249327456,89000000,1.4302042587844739
3,노형동,1505234,51892607922,음식,861,60270160.18815331,17767237,8.471964436563773,89000000,0.6771928111028462
