상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
마녀상회,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025031,제주특별자치도 서귀포시 대정읍 무릉리 3815-1,제주특별자치도 서귀포시 대정읍 무릉사장로 154,63501,126.1910544,33.25742586
코크니셰,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 594-30,제주특별자치도 제주시 서사로11길 16,63178,126.5216795,33.50564935
피자베이,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 398-23,제주특별자치도 제주시 승천로 11-1,63225,126.5390377,33.49673134
제주특별자치도준승용마생산육성,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025321,제주특별자치도 제주시 애월읍 광령리 1881,제주특별자치도 제주시 애월읍 광령북8길 18-1,63060,126.4393558,33.4681985
미나식탁,음식,양식,정통양식/경양식,서양식 음식점업,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 3012-18,제주특별자치도 제주시 구남동1길 46,63231,126.5413791,33.49315262
와랑와랑,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 4-95,제주특별자치도 제주시 산천단동1길 9,63243,126.5577474,33.44889625
쏘렌토,음식,양식,스파게티전문점,서양식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 271-10,제주특별자치도 제주시 삼무로3길 46-1,63125,126.4910543,33.49057553
골프존파크함덕메이저퀸,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 951-1,제주특별자치도 제주시 조천읍 함덕18길 19,63333,126.6702816,33.53947529
푸라닭,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 951-1,제주특별자치도 제주시 조천읍 함덕18길 19,63333,126.6702816,33.53947529
붐붐,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1295-11,제주특별자치도 제주시 다랑곶4길 2,63098,126.4813167,33.48748139
딩동댕,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이호동,이호일동,5011068000,5011012500,제주특별자치도 제주시 이호일동 1786-1,제주특별자치도 제주시 테우해안로 148,63111,126.4495875,33.49708676
베이크앤노트,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,우도면,우도면,5011033000,5011033021,제주특별자치도 제주시 우도면 연평리 1185-2,제주특별자치도 제주시 우도면 우도해안길 804,63365,126.9570997,33.5139391
스토리카페담,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,한경면,한경면,5011031000,5011031021,제주특별자치도 제주시 한경면 청수리 136-3,제주특별자치도 제주시 한경면 청수서5길 1-12,63006,126.2562793,33.30367896
소문,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 1871-6,제주특별자치도 서귀포시 천제연로 273-22,63540,126.4336981,33.25289373
만두여행,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 261-50,제주특별자치도 제주시 제원2길 8,63129,126.4888089,33.48851964
포에마,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025027,제주특별자치도 제주시 한림읍 명월리 1867-1,제주특별자치도 제주시 한림읍 명월로 13,63014,126.2648738,33.39166415
골프존준스크린,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 905-4,제주특별자치도 제주시 한림읍 한림상로 142,63028,126.2677504,33.41134892
쇠소깍풍경,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,서귀포시,효돈동,하효동,5013055000,5013010800,제주특별자치도 서귀포시 하효동 995,제주특별자치도 서귀포시 쇠소깍로 128,63600,126.6230141,33.25207783
꼼지락도시락,음식,패스트푸드,도시락전문점,한식 음식점업,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 1737-5,제주특별자치도 서귀포시 중문상로82번길 26,63545,126.4300982,33.25438104
소소식당,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,중문동,대포동,5013061000,5013011400,제주특별자치도 서귀포시 대포동 1576-1,제주특별자치도 서귀포시 대포로 69-12,63544,126.4330232,33.24321115
강사또,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 862,제주특별자치도 제주시 용화로 16,63159,126.50525,33.50979776
하르방,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031028,제주특별자치도 서귀포시 안덕면 동광리 1591-2,제주특별자치도 서귀포시 안덕면 동광로100번길 9,63523,126.3385599,33.30505896
카페이스트리,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,일도1동,일도일동,5011051000,5011010100,제주특별자치도 제주시 일도일동 1476-2,제주특별자치도 제주시 관덕로 68,63192,126.5265618,33.51284797
가마치통닭,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 941,제주특별자치도 제주시 원노형로 37,63082,126.4851094,33.48531897
정자네,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1207,제주특별자치도 제주시 한림읍 한림중앙로 14,63032,126.2644174,33.41353815
친,음식,중식,중국음식/중국집,중식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025031,제주특별자치도 제주시 한림읍 협재리 2514-1,제주특별자치도 제주시 한림읍 한림로 332-1,63011,126.2404485,33.3930962
키즈밀제주,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031027,제주특별자치도 서귀포시 안덕면 서광리 1418-1,제주특별자치도 서귀포시 안덕면 녹차분재로 44-5,63521,126.3024207,33.29004627
백년가약한정식뷔페,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한경면,한경면,5011031000,5011031026,제주특별자치도 제주시 한경면 조수리 1508,제주특별자치도 제주시 한경면 낙수로 41,63004,126.2252475,33.33244959
신비의사랑세번째이야기,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,외도동,외도일동,5011067000,5011012300,제주특별자치도 제주시 외도일동 551-6,제주특별자치도 제주시 우령2길 19-2,63070,126.4319988,33.48725479
소랑방,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025326,제주특별자치도 제주시 애월읍 신엄리 2485-7,제주특별자치도 제주시 애월읍 신엄7길 13,63047,126.3654351,33.47209602
동연식육점,소매,음/식료품소매,정육점,육류 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1284-13,제주특별자치도 제주시 정존13길 17,63099,126.4764551,33.4861505
화순돔미락,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031021,제주특별자치도 서귀포시 안덕면 화순리 848,제주특별자치도 서귀포시 안덕면 화순해안로 66,63530,126.3333923,33.24083398
으뜸순대,음식,별식/퓨전요리,순대전문점,한식 음식점업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025029,제주특별자치도 서귀포시 대정읍 보성리 463-9,제주특별자치도 서귀포시 대정읍 중산간서로 2390,63518,126.2785655,33.27211966
싱싱탐라횟집,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 3008-5,제주특별자치도 제주시 신설로11길 2-9,63229,126.5447494,33.49108256
세화마을협동조합,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025628,제주특별자치도 제주시 구좌읍 세화리 1486-2,제주특별자치도 제주시 구좌읍 세화5길 6-9,63361,126.8575319,33.52408762
어니스트밀크,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025925,제주특별자치도 서귀포시 성산읍 수산리 1490,제주특별자치도 서귀포시 성산읍 중산간동로 3147-7,63630,126.8719329,33.45040371
경숙엄마,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,제주시,이도1동,이도일동,5011053000,5011010300,제주특별자치도 제주시 이도일동 1349-56,제주특별자치도 제주시 중앙로11길 16,63192,126.5261191,33.51229274
무판,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,삼도1동,삼도일동,5011055000,5011010500,제주특별자치도 제주시 삼도일동 508,제주특별자치도 제주시 전농로 34,63176,126.5168934,33.50421274
모슬포에서,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 822-1,제주특별자치도 서귀포시 대정읍 상모로 325,63510,126.2547247,33.22210227
달콤해,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1189-4,제주특별자치도 제주시 만덕로4길 4,63278,126.5316304,33.51480146
옛날아우내순대,음식,별식/퓨전요리,순대전문점,한식 음식점업,제주특별자치도,제주시,봉개동,봉개동,5011062000,5011011600,제주특별자치도 제주시 봉개동 2013-3,제주특별자치도 제주시 봉개대동6길 45,63313,126.5937768,33.4881956
에이바우트커피,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1995-7,제주특별자치도 제주시 중앙로 343,63231,126.5376362,33.49112504
하귀노팅힐컨벤션,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025341,제주특별자치도 제주시 애월읍 하귀2리 1763-1,제주특별자치도 제주시 애월읍 일주서로 7020,63051,126.4004326,33.48128873
서흘포,음식,한식,기타고기요리,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 4158-1,제주특별자치도 제주시 조천읍 함덕30길 14-15,63333,126.6755971,33.53897328
제주인짬뽕,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 742-1,제주특별자치도 제주시 진군2길 23-2,63089,126.4781374,33.47855293
평창메밀막국수,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 64-12,제주특별자치도 제주시 은수길 6-9,63091,126.485755,33.47542764
골프존영스크린연북로점,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,오라동,오라이동,5011064000,5011012000,제주특별자치도 제주시 오라이동 3162-6,제주특별자치도 제주시 연북로 199-8,63145,126.5029348,33.48236208
백색소음,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1987-17,제주특별자치도 제주시 남광로2길 32,63231,126.5389905,33.4899329
돈블랙,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,대륜동,서호동,5013059000,5013010300,제주특별자치도 서귀포시 서호동 1553-7,제주특별자치도 서귀포시 서호남로32번길 24,63568,126.5150546,33.24869868
퐁낭쉼팡,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 274-64,제주특별자치도 제주시 연동10길 16,63133,126.491666,33.48446132
풍림다방송당점,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025625,제주특별자치도 제주시 구좌읍 송당리 1377-1,제주특별자치도 제주시 구좌읍 중산간동로 2267-4,63355,126.7857712,33.47186882
오늘무지개,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6106-10,제주특별자치도 제주시 인다5길 20,63247,126.5475656,33.47514865
달비치,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025626,제주특별자치도 제주시 구좌읍 월정리 1,제주특별자치도 제주시 구좌읍 월정7길 54,63358,126.7963101,33.55533449
재성,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 1227-1,제주특별자치도 제주시 조천읍 함덕16길 65,63333,126.6626484,33.54226014
자몽,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1587,제주특별자치도 제주시 한림읍 한림해안로 136,63032,126.2614022,33.41487528
조수식당,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한경면,한경면,5011031000,5011031026,제주특별자치도 제주시 한경면 조수리 1412-2,제주특별자치도 제주시 한경면 낙수로 40,63004,126.2248357,33.33263303
조마루뼈다귀,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1450-14,제주특별자치도 제주시 한림읍 한림남2길 7,63032,126.2643891,33.41225757
유수식육점,소매,음/식료품소매,정육점,육류 소매업,제주특별자치도,제주시,일도1동,일도일동,5011051000,5011010100,제주특별자치도 제주시 일도일동 1103,제주특별자치도 제주시 동문로4길 9,63264,126.5282969,33.51207521
포산해장국,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1050-1,제주특별자치도 제주시 월랑로10길 34,63097,126.4788138,33.49093975
탐나는,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025337,제주특별자치도 제주시 애월읍 곽지리 1500-1,제주특별자치도 제주시 애월읍 일주서로 6066,63034,126.3093027,33.45215819
딜리버리쿡,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 274-55,제주특별자치도 제주시 사장1길 40,63133,126.4916282,33.4853985
애월호롱,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025333,제주특별자치도 제주시 애월읍 고내리 1188-1,제주특별자치도 제주시 애월읍 고내로7길 37,63045,126.3372262,33.46605005
은희네해장국,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 1252-42,제주특별자치도 제주시 조천읍 조함해안로 480,63333,126.6642089,33.54300727
돌담가집밥,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 426-4,제주특별자치도 제주시 정든로 64,63226,126.5444867,33.49906745
낙지먹는날,음식,일식/수산물,낙지/오징어,한식 음식점업,제주특별자치도,제주시,삼도1동,삼도일동,5011055000,5011010500,제주특별자치도 제주시 삼도일동 551-8,제주특별자치도 제주시 서광로21길 5,63182,126.5219393,33.50049546
황금룡,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025033,제주특별자치도 서귀포시 대정읍 신도리 10,제주특별자치도 서귀포시 대정읍 칠전로 434,63501,126.2227833,33.28665193
정미네식당,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025928,제주특별자치도 서귀포시 성산읍 삼달리 1-12,제주특별자치도 서귀포시 성산읍 삼달하동로31번길 3,63635,126.8715618,33.36767538
광어식해국수,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 442,제주특별자치도 제주시 연신로 26,63226,126.5450767,33.49853343
스페이스제로,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025336,제주특별자치도 제주시 애월읍 어음리 산131,제주특별자치도 제주시 애월읍 천덕로 880-24,63038,126.366523,33.38996064
치치,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,예래동,상예동,5013062000,5013012000,제주특별자치도 서귀포시 상예동 625,제주특별자치도 서귀포시 예래해안로 542,63536,126.4026534,33.2547167
운송,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,서귀포시,서홍동,서홍동,5013058000,5013010600,제주특별자치도 서귀포시 서홍동 440-14,제주특별자치도 서귀포시 홍중로 8,63584,126.5591819,33.25368077
준이네감귤농장,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,예래동,색달동,5013062000,5013011900,제주특별자치도 서귀포시 색달동 2286-1,제주특별자치도 서귀포시 색달중앙로 48,63534,126.4138391,33.25982764
칠칠갈비,음식,중식,중국음식/중국집,중식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 261-12,제주특별자치도 제주시 신광로 38,63129,126.4899029,33.4887223
각이진별,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한경면,한경면,5011031000,5011031030,제주특별자치도 제주시 한경면 저지리 2969-19,제주특별자치도 제주시 한경면 명이1길 6,63005,126.2654162,33.3210175
비바리스조개구이,음식,일식/수산물,조개구이전문,한식 음식점업,제주특별자치도,서귀포시,천지동,서귀동,5013054000,5013010100,제주특별자치도 서귀포시 서귀동 332-3,제주특별자치도 서귀포시 일주동로 8737,63593,126.5549386,33.25199961
2번통닭,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,서귀포시,중앙동,서귀동,5013053000,5013010100,제주특별자치도 서귀포시 서귀동 273-4,제주특별자치도 서귀포시 중앙로42번길 26,63591,126.564442,33.24831389
대동강초계탕,음식,닭/오리요리,삼계탕전문,한식 음식점업,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032021,제주특별자치도 서귀포시 표선면 표선리 40-52,제주특별자치도 서귀포시 표선면 민속해안로 578-3,63629,126.8442822,33.32514652
대일수산,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,제주시,이도1동,이도일동,5011053000,5011010300,제주특별자치도 제주시 이도일동 1349-51,제주특별자치도 제주시 오현길 88,63192,126.5255336,33.51254723
엄쟁이족발,음식,한식,족발/보쌈전문,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1271-2,제주특별자치도 제주시 월랑로6길 38,63097,126.4800496,33.49041398
홍도여인숙,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,용담1동,용담일동,5011057000,5011010800,제주특별자치도 제주시 용담일동 166-15,제주특별자치도 제주시 용담로17길 22-16,63154,126.516967,33.50936159
맛나감자탕제주1호점,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 2524-5,제주특별자치도 제주시 정존5길 7,63103,126.4742029,33.48328285
엉터리참숯불갈비,음식,한식,갈비/삼겹살,한식 음식점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 48-4,제주특별자치도 제주시 천수로8길 7,63258,126.5429024,33.50306084
황금장,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1131,제주특별자치도 제주시 산지로 21-2,63278,126.5295417,33.51483979
조림명가,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,천지동,서귀동,5013054000,5013010100,제주특별자치도 서귀포시 서귀동 311-5,제주특별자치도 서귀포시 중앙로47번길 19,63592,126.5595157,33.24838315
청호식당,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 993-1,제주특별자치도 제주시 동문로 62,63265,126.5333692,33.51317218
