,읍면동명
0,건입동
1,구좌읍
2,남원읍
3,노형동
4,대륜동
5,대정읍
6,대천동
7,도두동
8,동홍동
9,봉개동
10,삼도1동
11,삼도2동
12,삼양동
13,서홍동
14,성산읍
15,송산동
16,아라동
17,안덕면
18,애월읍
19,연동
20,영천동
21,예래동
22,오라동
23,외도동
24,용담1동
25,용담2동
26,우도면
27,이도1동
28,이도2동
29,이호동
30,일도1동
31,일도2동
32,정방동
33,조천읍
34,중문동
35,중앙동
36,천지동
37,추자면
38,표선면
39,한경면
40,한림읍
41,화북동
42,효돈동
