,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,총이용자수,동별이용자수,창업비용,매출ratio
15,송산동,299191,15179397255,소매업,13,1167645942.6923077,3441190,0.08694405133108024,92000000,12.691803724916388
32,정방동,232622,11353592020,소매업,10,1135359202.0,3441190,0.06759928978057009,92000000,12.340860891304349
36,천지동,245863,11690912025,소매업,11,1062810184.0909092,3441190,0.07144708661829192,92000000,11.552284609683797
35,중앙동,232622,11353592020,소매업,53,214218717.35849056,3441190,0.06759928978057009,92000000,2.328464319114028
23,외도동,55540,2855606785,소매업,16,178475424.0625,3441190,0.01613976560434036,92000000,1.939950261548913
