년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Oct,제주시,애월읍,여관업,3563,384330143,44514781.66,2021-07-28
20-Oct,제주시,애월읍,스포츠 및 레크레이션 용품 임대업,1162,30544517,44514781.66,2021-07-28
20-Oct,제주시,애월읍,슈퍼마켓,9575,228130696,44514781.66,2021-07-28
20-Oct,제주시,애월읍,수산물 소매업,221,12558500,44514781.66,2021-07-28
20-Oct,제주시,애월읍,서양식 음식점업,20995,574294729,44514781.66,2021-07-28
20-Oct,제주시,애월읍,빵 및 과자류 소매업,4179,82440015,44514781.66,2021-07-28
20-Oct,제주시,애월읍,비알콜 음료점업,5503,70717650,44514781.66,2021-07-28
20-Oct,제주시,애월읍,기타음식료품위주종합소매업,22236,1188184746,44514781.66,2021-07-28
20-Oct,제주시,애월읍,기타 주점업,34,5570000,44514781.66,2021-07-28
20-Oct,제주시,아라동,욕탕업,48,410500,42196335.89,2021-07-28
20-Oct,제주시,애월읍,차량용 가스 충전업,212,23739400,44514781.66,2021-07-28
20-Oct,제주시,아라동,여행사업,6,4175000,42196335.89,2021-07-28
20-Oct,제주시,아라동,스포츠 및 레크레이션 용품 임대업,788,65558150,42196335.89,2021-07-28
20-Oct,제주시,삼양동,차량용 가스 충전업,138,15100040,20005740.07,2021-07-28
20-Oct,제주시,삼양동,중식 음식점업,1841,45951400,20005740.07,2021-07-28
20-Oct,제주시,삼양동,전시 및 행사 대행업,18,7048500,20005740.07,2021-07-28
20-Oct,제주시,삼양동,일식 음식점업,812,48663600,20005740.07,2021-07-28
20-Oct,제주시,삼양동,육류 소매업,609,133972031,20005740.07,2021-07-28
20-Oct,제주시,삼양동,욕탕업,437,13889000,20005740.07,2021-07-28
20-Oct,제주시,삼양동,차량용 주유소 운영업,5016,304570575,20005740.07,2021-07-28
20-Oct,제주시,삼양동,여관업,132,14095760,20005740.07,2021-07-28
20-Oct,제주시,삼양동,슈퍼마켓,22725,648883098,20005740.07,2021-07-28
20-Oct,제주시,삼양동,수산물 소매업,338,21172400,20005740.07,2021-07-28
20-Oct,제주시,삼양동,서양식 음식점업,3465,63756790,20005740.07,2021-07-28
20-Oct,제주시,삼양동,빵 및 과자류 소매업,3461,46561670,20005740.07,2021-07-28
20-Oct,제주시,삼양동,비알콜 음료점업,5001,36377660,20005740.07,2021-07-28
20-Oct,제주시,삼양동,기타음식료품위주종합소매업,2086,45222130,20005740.07,2021-07-28
20-Oct,제주시,삼양동,스포츠 및 레크레이션 용품 임대업,1074,39658329,20005740.07,2021-07-28
20-Oct,제주시,삼양동,체인화 편의점,24185,237357680,20005740.07,2021-07-28
20-Oct,제주시,삼양동,"피자, 햄버거, 샌드위치 및 유사 음식점업",3272,45339130,20005740.07,2021-07-28
20-Oct,제주시,삼양동,한식 음식점업,14452,543441867,20005740.07,2021-07-28
20-Oct,제주시,아라동,슈퍼마켓,29953,746852720,42196335.89,2021-07-28
20-Oct,제주시,아라동,수산물 소매업,191,10791080,42196335.89,2021-07-28
20-Oct,제주시,아라동,서양식 음식점업,14442,298810550,42196335.89,2021-07-28
20-Oct,제주시,아라동,빵 및 과자류 소매업,6445,111115400,42196335.89,2021-07-28
20-Oct,제주시,아라동,비알콜 음료점업,13905,119818300,42196335.89,2021-07-28
20-Oct,제주시,아라동,마사지업,7,430000,42196335.89,2021-07-28
20-Oct,제주시,아라동,기타음식료품위주종합소매업,3535,130504830,42196335.89,2021-07-28
20-Oct,제주시,아라동,기타 주점업,46,3590000,42196335.89,2021-07-28
20-Oct,제주시,아라동,기타 외국식 음식점업,1874,64133800,42196335.89,2021-07-28
20-Oct,제주시,아라동,그외 기타 종합 소매업,26,9810000,42196335.89,2021-07-28
20-Oct,제주시,아라동,관광 민예품 및 선물용품 소매업,11,746500,42196335.89,2021-07-28
20-Oct,제주시,아라동,과실 및 채소 소매업,453,37578200,42196335.89,2021-07-28
20-Oct,제주시,아라동,골프장 운영업,3283,358500894,42196335.89,2021-07-28
20-Oct,제주시,아라동,건강보조식품 소매업,19,6458000,42196335.89,2021-07-28
20-Oct,제주시,삼양동,화장품 및 방향제 소매업,361,14286950,20005740.07,2021-07-28
20-Oct,제주시,아라동,여관업,514,103805163,42196335.89,2021-07-28
20-Oct,제주시,용담2동,"피자, 햄버거, 샌드위치 및 유사 음식점업",12481,120790405,17496303.89,2021-07-28
20-Oct,제주시,화북동,"피자, 햄버거, 샌드위치 및 유사 음식점업",2549,43548500,25823261.32,2021-07-28
20-Oct,제주시,용담2동,화장품 및 방향제 소매업,241,11429800,17496303.89,2021-07-28
20-Oct,제주시,추자면,여관업,84,10223000,2018650.707,2021-07-28
20-Oct,제주시,추자면,스포츠 및 레크레이션 용품 임대업,53,2135000,2018650.707,2021-07-28
20-Oct,제주시,추자면,슈퍼마켓,1310,45270260,2018650.707,2021-07-28
20-Oct,제주시,추자면,수산물 소매업,119,11431000,2018650.707,2021-07-28
20-Oct,제주시,추자면,서양식 음식점업,204,2654500,2018650.707,2021-07-28
20-Oct,제주시,추자면,비알콜 음료점업,98,1651500,2018650.707,2021-07-28
20-Oct,제주시,추자면,여행사업,1,80000,2018650.707,2021-07-28
20-Oct,제주시,추자면,기타 주점업,97,21010000,2018650.707,2021-07-28
20-Oct,제주시,조천읍,휴양콘도 운영업,1414,278163750,25232483.07,2021-07-28
20-Oct,제주시,조천읍,화장품 및 방향제 소매업,44,1661400,25232483.07,2021-07-28
20-Oct,제주시,조천읍,호텔업,129,22977475,25232483.07,2021-07-28
20-Oct,제주시,조천읍,한식 음식점업,44318,1697075860,25232483.07,2021-07-28
20-Oct,제주시,조천읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",3292,55660270,25232483.07,2021-07-28
20-Oct,제주시,조천읍,택시 운송업,2,250000,25232483.07,2021-07-28
20-Oct,제주시,추자면,과실 및 채소 소매업,113,9739500,2018650.707,2021-07-28
