년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Sep,서귀포시,중앙동,비알콜 음료점업,5544,54360650,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,빵 및 과자류 소매업,5925,101912475,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,서양식 음식점업,4745,122593760,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,수산물 소매업,4253,387391912,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,슈퍼마켓,7535,173964280,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,스포츠 및 레크레이션 용품 임대업,2374,316230940,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,여관업,2307,153725131,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,욕탕업,11,54000,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,일반유흥 주점업,1605,440489060,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,일식 음식점업,4526,293190000,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,전시 및 행사 대행업,44,2699000,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,중식 음식점업,2501,77157700,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,차량용 주유소 운영업,1540,82848001,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,체인화 편의점,39065,412242101,4464560.108,2021-07-28
20-Sep,서귀포시,중앙동,육류 소매업,2241,324293698,4464560.108,2021-07-28
