,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,총이용자수,동별이용자수
15,송산동,299191,15179397255,소매업,13,1167645942.6923077,3441190,8.694405133108024
36,천지동,245863,11690912025,소매업,11,1062810184.0909092,3441190,7.144708661829193
32,정방동,232622,11353592020,소매업,10,1135359202.0,3441190,6.759928978057009
35,중앙동,232622,11353592020,소매업,53,214218717.35849056,3441190,6.759928978057009
3,노형동,232595,8715171311,소매업,68,128164283.98529412,3441190,6.759144365757194
