,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,총이용자수,동별이용자수,점포당이용자수
15,송산동,1087616,39204891377,음식,152,257926916.95394737,17767237,6.121469534064301,7155.368421052632
32,정방동,684580,24555916274,음식,143,171719694.22377622,17767237,3.8530470438369226,4787.272727272727
35,중앙동,684580,24555916274,음식,155,158425266.28387097,17767237,3.8530470438369226,4416.645161290323
36,천지동,816266,28003399387,음식,220,127288179.03181818,17767237,4.594220249327456,3710.3
25,용담2동,576652,14969147221,음식,279,53652857.42293907,17767237,3.24559187227592,2066.853046594982
