,년월,읍면동명,이용자수,이용금액,총 유동인구,업종명
259,2019-07-01,구좌읍,44549,1454232629,101347692.66,식음료
412,2019-12-01,구좌읍,7,372000,14926142.08,쇼핑
115,2019-04-01,구좌읍,12,491000,15409143.12,쇼핑
467,2019-12-01,구좌읍,493,40953776,29852284.16,숙박업
301,2019-09-01,구좌읍,8,397500,14858312.89,쇼핑
1,2019-01-01,구좌읍,1668,88276520,73881859.1,소매업
152,2019-05-01,구좌읍,9,337000,16266007.18,쇼핑
1,2019-01-01,구좌읍,6,218000,14776371.82,쇼핑
173,2019-05-01,구좌읍,38342,1312989268,97596043.08000001,식음료
211,2019-06-01,구좌읍,239,8486500,15812004.46,문화레저
335,2019-09-01,구좌읍,237,9094000,29716625.78,문화레저
339,2019-09-01,구좌읍,601,40966227,29716625.78,숙박업
302,2019-08-01,구좌읍,51943,1719044184,106799733.36,식음료
44,2019-02-01,구좌읍,1479,85725916,68415134.75,소매업
190,2019-06-01,구좌읍,2,115000,15812004.46,쇼핑
474,2019-12-01,구좌읍,1397,113847472,74630710.4,소매업
381,2019-10-01,구좌읍,745,45031314,31183778.32,숙박업
173,2019-05-01,구좌읍,2522,97885704,81330035.9,소매업
227,2019-07-01,구좌읍,13,892000,16891282.11,쇼핑
458,2019-12-01,구좌읍,123,4634230,14926142.08,문화레저
431,2019-11-01,구좌읍,33947,1159987048,86895487.2,식음료
171,2019-05-01,구좌읍,631,41852484,32532014.36,숙박업
375,2019-11-01,구좌읍,8,369500,14482581.2,쇼핑
216,2019-06-01,구좌읍,1975,97056790,79060022.30000001,소매업
128,2019-04-01,구좌읍,465,29350691,30818286.24,숙박업
302,2019-08-01,구좌읍,1933,115921515,88999777.8,소매업
44,2019-02-01,구좌읍,29786,955570326,82098161.7,식음료
85,2019-03-01,구좌읍,93,3675300,15056826.62,문화레저
1,2019-01-01,구좌읍,92,2915500,14776371.82,문화레저
345,2019-09-01,구좌읍,1483,108855764,74291564.45,소매업
337,2019-10-01,구좌읍,6,383000,15591889.16,쇼핑
1,2019-01-01,구좌읍,31267,1036215388,88658230.91999999,식음료
432,2019-11-01,남원읍,15840,670408912,91818036.66,식음료
170,2019-05-01,남원읍,261,27474300,15232085.65,문화레저
2,2019-01-01,남원읍,17433,703966097,97543088.22,식음료
382,2019-10-01,남원읍,590,63692993,15299254.51,숙박업
346,2019-09-01,남원읍,14095,555323949,85508032.02,식음료
459,2019-12-01,남원읍,227,14078500,16345230.28,문화레저
228,2019-07-01,남원읍,149,6922910,15665618.08,쇼핑
129,2019-04-01,남원읍,333,25263850,14882022.38,숙박업
377,2019-10-01,남원읍,277,19066400,15299254.51,문화레저
86,2019-03-01,남원읍,173,7571500,14505639.07,문화레저
432,2019-11-01,남원읍,3501,223180680,76515030.55,소매업
174,2019-05-01,남원읍,16959,713735011,91392513.9,식음료
88,2019-03-01,남원읍,2872,213241761,72528195.35,소매업
303,2019-08-01,남원읍,18926,762097331,96713572.73999998,식음료
336,2019-09-01,남원읍,240,9845500,14251338.67,문화레저
45,2019-02-01,남원읍,2855,211414780,70439961.0,소매업
153,2019-05-01,남원읍,151,8563800,15232085.65,쇼핑
475,2019-12-01,남원읍,17766,703108799,98071381.67999999,식음료
303,2019-08-01,남원읍,2608,136647590,80594643.94999999,소매업
191,2019-06-01,남원읍,165,9842040,14529745.51,쇼핑
2,2019-01-01,남원읍,171,8770270,16257181.37,쇼핑
212,2019-06-01,남원읍,252,10779000,14529745.51,문화레저
338,2019-10-01,남원읍,154,5880850,15299254.51,쇼핑
340,2019-09-01,남원읍,397,60626147,14251338.67,숙박업
131,2019-04-01,남원읍,15463,676858381,89292134.28,식음료
2,2019-01-01,남원읍,145,5462900,16257181.37,문화레저
298,2019-08-01,남원읍,912,126977825,16118928.79,숙박업
86,2019-03-01,남원읍,351,30663390,14505639.07,숙박업
217,2019-06-01,남원읍,2429,179963520,72648727.55,소매업
2,2019-01-01,남원읍,3770,340806937,81285906.85,소매업
468,2019-12-01,남원읍,564,95741922,16345230.28,숙박업
475,2019-12-01,남원읍,4243,288255401,81726151.39999999,소매업
2,2019-01-01,남원읍,340,25792500,16257181.37,숙박업
389,2019-10-01,남원읍,3308,226807130,76496272.55,소매업
172,2019-05-01,남원읍,437,38962345,15232085.65,숙박업
253,2019-07-01,남원읍,256,9624310,15665618.08,문화레저
131,2019-04-01,남원읍,2681,193019529,74410111.9,소매업
41,2019-02-01,남원읍,133,6121540,14087992.2,쇼핑
44,2019-02-01,남원읍,156,6536610,14087992.2,문화레저
389,2019-10-01,남원읍,17115,682124615,91795527.06,식음료
260,2019-07-01,남원읍,2230,129268860,78328090.4,소매업
346,2019-09-01,남원읍,2487,190401830,71256693.35,소매업
418,2019-11-01,남원읍,271,13573000,15303006.11,문화레저
425,2019-11-01,남원읍,423,60737742,15303006.11,숙박업
217,2019-06-01,남원읍,16872,680151171,87178473.06,식음료
302,2019-09-01,남원읍,150,6335380,14251338.67,쇼핑
78,2019-03-01,남원읍,156,12810470,14505639.07,쇼핑
174,2019-05-01,남원읍,2651,196144758,76160428.25,소매업
214,2019-06-01,남원읍,406,72572482,14529745.51,숙박업
295,2019-08-01,남원읍,269,16572321,16118928.79,문화레저
128,2019-04-01,남원읍,219,15118500,14882022.38,문화레저
265,2019-08-01,남원읍,159,6238640,16118928.79,쇼핑
116,2019-04-01,남원읍,143,5848000,14882022.38,쇼핑
256,2019-07-01,남원읍,617,63451609,15665618.08,숙박업
376,2019-11-01,남원읍,155,8207620,15303006.11,쇼핑
260,2019-07-01,남원읍,16997,690683730,93993708.48,식음료
88,2019-03-01,남원읍,15015,626922259,87033834.41999999,식음료
44,2019-02-01,남원읍,222,21866000,14087992.2,숙박업
413,2019-12-01,남원읍,156,6890740,16345230.28,쇼핑
45,2019-02-01,남원읍,13152,553339281,84527953.2,식음료
130,2019-04-01,노형동,1351,254071814,112676800.82,숙박업
337,2019-09-01,노형동,761,173007310,54577154.24,문화레저
117,2019-04-01,노형동,842,82183860,56338400.41,쇼핑
154,2019-05-01,노형동,885,83662650,57645927.04,쇼핑
218,2019-06-01,노형동,140385,5158178460,330009327.9,식음료
304,2019-08-01,노형동,20885,741061709,288585655.59999996,소매업
469,2019-12-01,노형동,1360,412376249,117507641.74,숙박업
426,2019-11-01,노형동,1414,352304750,113794364.7,숙박업
261,2019-07-01,노형동,145117,5189752760,340770751.08,식음료
414,2019-12-01,노형동,641,68505500,58753820.87,쇼핑
213,2019-06-01,노형동,1016,280138280,55001554.65,문화레저
45,2019-02-01,노형동,1252,275364737,103785036.8,숙박업
3,2019-01-01,노형동,19879,681806770,288639727.8,소매업
296,2019-08-01,노형동,679,152994150,57717131.12,문화레저
175,2019-05-01,노형동,144758,5294722236,345875562.24,식음료
261,2019-07-01,노형동,19236,565067228,283975625.9,소매업
341,2019-09-01,노형동,1061,185359796,109154308.48,숙박업
3,2019-01-01,노형동,890,82724970,57727945.56,쇼핑
42,2019-02-01,노형동,715,66923000,51892518.4,쇼핑
383,2019-10-01,노형동,1333,326241942,114566118.4,숙박업
377,2019-11-01,노형동,765,90511000,56897182.35,쇼핑
254,2019-07-01,노형동,808,162248400,56795125.18,문화레저
87,2019-03-01,노형동,1381,229911790,115619743.18,숙박업
3,2019-01-01,노형동,134582,5082598253,346367673.36,식음료
175,2019-05-01,노형동,20198,603388146,288229635.2,소매업
171,2019-05-01,노형동,1252,305967610,57645927.04,문화레저
87,2019-03-01,노형동,1002,203239010,57809871.59,문화레저
460,2019-12-01,노형동,814,226802700,58753820.87,문화레저
347,2019-09-01,노형동,134496,4717521827,327462925.44,식음료
79,2019-03-01,노형동,844,83174400,57809871.59,쇼핑
132,2019-04-01,노형동,19318,574954138,281692002.04999995,소매업
229,2019-07-01,노형동,761,67810690,56795125.18,쇼핑
46,2019-02-01,노형동,118828,4496207989,311355110.4,식음료
378,2019-10-01,노형동,960,219073610,57283059.2,문화레저
476,2019-12-01,노형동,145801,5817054838,352522925.21999997,식음료
89,2019-03-01,노형동,19789,572411536,289049357.95000005,소매업
173,2019-05-01,노형동,1404,271991905,115291854.08,숙박업
129,2019-04-01,노형동,1083,271353573,56338400.41,문화레저
257,2019-07-01,노형동,1369,224344600,113590250.36,숙박업
89,2019-03-01,노형동,135979,4987856494,346859229.5400001,식음료
3,2019-01-01,노형동,751,149811850,57727945.56,문화레저
266,2019-08-01,노형동,687,77544958,57717131.12,쇼핑
3,2019-01-01,노형동,1523,215109875,115455891.12,숙박업
215,2019-06-01,노형동,1399,268750707,110003109.3,숙박업
433,2019-11-01,노형동,20638,753828185,284485911.75,소매업
390,2019-10-01,노형동,20902,733726779,286415296.0,소매업
476,2019-12-01,노형동,21769,871986259,293769104.34999996,소매업
192,2019-06-01,노형동,779,82413460,55001554.65,쇼핑
303,2019-09-01,노형동,616,67031715,54577154.24,쇼핑
347,2019-09-01,노형동,19554,780793160,272885771.2,소매업
304,2019-08-01,노형동,156000,5547980204,346302786.71999997,식음료
419,2019-11-01,노형동,928,302479940,56897182.35,문화레저
218,2019-06-01,노형동,19448,609698951,275007773.25,소매업
339,2019-10-01,노형동,770,95526452,57283059.2,쇼핑
132,2019-04-01,노형동,135992,4988522414,338030402.4599999,식음료
45,2019-02-01,노형동,681,159204390,51892518.4,문화레저
299,2019-08-01,노형동,1344,267353652,115434262.24,숙박업
433,2019-11-01,노형동,143524,5532990007,341383094.1,식음료
390,2019-10-01,노형동,148412,5445941843,343698355.2,식음료
46,2019-02-01,노형동,17494,658446055,259462592.0,소매업
4,2019-01-01,대륜동,1349,174636115,33611037.64,숙박업
219,2019-06-01,대륜동,26487,918290647,92617649.64,식음료
348,2019-09-01,대륜동,3223,194995120,60205518.84,소매업
43,2019-02-01,대륜동,21,2165000,14856354.08,쇼핑
420,2019-11-01,대륜동,4,295000,15618551.95,문화레저
262,2019-07-01,대륜동,3659,130793815,66501762.28,소매업
133,2019-04-01,대륜동,4113,291515720,63968508.92,소매업
47,2019-02-01,대륜동,20974,718608661,89138124.48,식음료
338,2019-09-01,대륜동,14,4788800,30102759.42,문화레저
379,2019-10-01,대륜동,15,869000,33162143.44,문화레저
391,2019-10-01,대륜동,3892,246133928,82905358.60000001,소매업
305,2019-08-01,대륜동,3899,170143023,69027368.52,소매업
219,2019-06-01,대륜동,3627,205660580,61745099.76,소매업
47,2019-02-01,대륜동,3171,163099010,59425416.32,소매업
477,2019-12-01,대륜동,3801,192615530,64851481.36,소매업
4,2019-01-01,대륜동,3875,174007793,67222075.28,소매업
176,2019-05-01,대륜동,3708,217823560,67228988.24,소매업
133,2019-04-01,대륜동,24370,864153939,95952763.38000001,식음료
