,읍면동명,방문인구,이용자수,이용금액,1인당이용금액,업종
18,예래동,1827264.0649999997,1560192,1217859162704,780582.8787123637,숙박
17,예래동,1827264.0649999997,136392,27620820000,202510.5578039768,문화레저
20,예래동,1827264.0649999997,4691544,3540241469600,754600.5045673663,쇼핑
20,예래동,1827264.0649999997,2850744,353172864720,123887.9621319908,음식
19,예래동,1827264.0649999997,526752,122750887200,233033.547475852,소매
20,오라동,168093.647,15480,3626865600,234293.6434108527,소매
21,오라동,256020.23600000003,49844,777748890,15603.66122301581,쇼핑
19,오라동,124990.417,10344,1734792000,167709.97679814385,숙박
18,오라동,65256.932,3672,652789920,177775.03267973856,문화레저
21,오라동,236715.98099999997,49329,13235855600,268317.9387378621,음식
21,외도동,131863.687,7832,174760600,22313.661899897856,소매
20,외도동,142861.76499999998,75689,18575637856,245420.57440314975,숙박
19,외도동,32324.906,744,49104000,66000.0,문화레저
22,외도동,151679.661,97807,3162212980,32331.151962538468,쇼핑
22,외도동,147258.02,52359,2433684600,46480.731106400046,음식
21,용담1동,66487.65899999999,13731,873511200,63615.99300852086,숙박
23,용담1동,99437.17899999997,65852,593782860,9016.929781935249,쇼핑
20,용담1동,18916.31399999999,2058,53847840,26165.131195335278,문화레저
23,용담1동,93007.32699999998,25525,1437900300,56333.01860920666,음식
22,용담1동,61163.687999999995,9222,859869000,93241.05400130124,소매
24,용담2동,6705191.4229999995,5770104,199085975208,34503.01332662288,음식
24,용담2동,6705191.4229999995,29144640,5695000000000,195404.71249601984,쇼핑
22,용담2동,6385087.755,84504,9682700160,114582.74353876739,숙박
21,용담2동,2454926.3249999993,6648,859327200,129261.01083032491,문화레저
23,용담2동,6705191.4229999995,603864,38635066320,63979.747625293116,소매
22,우도면,96630.875,1480,44360000,29972.972972972973,문화레저
25,우도면,334393.929,78276,626358320,8001.920384281261,쇼핑
25,우도면,334393.929,478952,13356711300,27887.369297967227,음식
24,우도면,334393.929,78868,2990300500,37915.257138509915,소매
23,우도면,165176.319,4456,620440000,139236.98384201078,숙박
26,이도1동,261371.61600000004,93927,1793216510,19091.5978366178,쇼핑
25,이도1동,261371.61600000004,325750,40864346800,125446.95871066769,소매
24,이도1동,236433.38899999997,34464,6690896400,194141.60863509748,숙박
26,이도1동,261371.61600000004,135124,3419261500,25304.62020070454,음식
23,이도1동,41918.099,1457,95790000,65744.68085106384,문화레저
25,이도2동,456435.03799999994,175968,35345613000,200863.86729405346,숙박
27,이도2동,456435.03799999994,243168,10340793840,42525.30694828267,음식
24,이도2동,456435.03799999994,173472,4920823200,28366.671278361926,문화레저
27,이도2동,456435.03799999994,520368,29868993840,57399.7514066968,쇼핑
26,이도2동,456435.03799999994,1035504,448162296120,432796.29641218187,소매
28,이호동,164757.356,31254,2179435400,69733.00697510719,음식
27,이호동,189425.877,1438953,539324111260,374803.14594013843,소매
28,이호동,189425.877,67848,1287943280,18982.77443697677,쇼핑
25,이호동,72947.814,2927,12784500,4367.7827126750935,문화레저
26,이호동,92772.225,8753,2600933600,297147.67508282873,숙박
26,일도1동,97354.08899999999,844858,29441714720,34848.12207495224,문화레저
27,일도1동,44088.60399999999,6085,983552000,161635.4971240756,숙박
29,일도1동,97354.08899999999,311555,8238525200,26443.245012919066,음식
28,일도1동,97354.08899999999,5605898,938425635695,167399.6986200962,소매
29,일도1동,97354.08899999999,369417,10829133900,29314.119003727494,쇼핑
28,일도2동,114790.535,7068,1366647600,193357.04584040746,숙박
29,일도2동,249761.148,13696,1195961000,87321.91880841121,소매
27,일도2동,277414.378,36062,263348000,7302.645443957628,문화레저
30,일도2동,290657.05,125341,4748641100,37885.77640197541,음식
30,일도2동,290657.05,404735,9570650220,23646.707648214262,쇼핑
29,정방동,450257.779,351912,77188940204,219341.59734251746,숙박
31,정방동,450257.779,602736,35151487400,58319.8737092193,음식
30,정방동,450257.779,356142,49054282520,137737.98799355314,소매
28,정방동,450257.779,124912,4105764800,32869.25835788395,문화레저
31,정방동,450257.779,561520,9533090260,16977.294237070808,쇼핑
32,조천읍,753717.6419999999,355320,11057096160,31118.699088145895,쇼핑
30,조천읍,753717.6419999999,94656,23920872792,252713.7507606491,숙박
31,조천읍,736489.6439999999,56472,3231040320,57214.90862728432,소매
32,조천읍,753717.6419999999,273672,14845521600,54245.672191528545,음식
29,조천읍,753717.6419999999,630936,17651868000,27977.271862756286,문화레저
33,중문동,597103.3189999999,281667,27035139000,95982.62842292494,음식
31,중문동,597103.3189999999,253428,156467282335,617403.2953541045,숙박
33,중문동,597103.3189999999,278382,18342680220,65890.32415888958,쇼핑
32,중문동,577658.024,37971,2865371500,75462.10265729109,소매
30,중문동,597103.3189999999,863260,54287371400,62886.46688135672,문화레저
31,중앙동,56561.163,2947,34787000,11804.207668815745,문화레저
32,중앙동,139996.228,43027,5851866132,136004.51186464314,숙박
34,중앙동,139996.228,303661,11898684900,39184.1062895795,쇼핑
33,중앙동,139996.228,370443,44043525700,118894.20423654921,소매
34,중앙동,139996.228,177156,7612666000,42971.53920838131,음식
35,천지동,892357.085,312155,5173094350,16572.197626179302,쇼핑
34,천지동,892357.085,348972,39592170920,113453.71812065151,소매
35,천지동,892357.085,451663,18026877000,39912.22880776154,음식
32,천지동,341619.18299999996,17377,298019000,17150.19853829775,문화레저
33,천지동,892357.085,219257,29062789841,132551.25191442008,숙박
33,표선면,508557.06799999997,52704,3225088800,61192.48633879781,문화레저
