,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,총이용자수,동별이용자수
19,연동,78211,14514851624,숙박업,79,183732299.0379747,599176,13.05309291426893
21,예래동,62450,27392932230,숙박업,49,559039433.2653061,599176,10.422647102020107
15,송산동,47826,4251484853,숙박업,49,86764997.0,599176,7.981961894334886
18,애월읍,37012,3766002728,숙박업,184,20467406.13043478,599176,6.177149952601573
36,천지동,32435,2937384465,숙박업,44,66758737.84090909,599176,5.413267554107641
